step,target_class,confidence,diff_x,diff_y,smoothed_diff_x,smoothed_diff_y,direction,pos_x,pos_y,pos_z
148,person,0.83,15,87,-1.6,30.6,['DOWN'],0.018,-0.090,1.000
149,person,0.83,15,87,4.8,48.0,['DOWN'],0.018,-0.091,1.000
150,person,0.82,18,93,10.6,66.8,['DOWN'],0.018,-0.092,1.000
151,person,0.79,36,99,18.8,86.0,['DOWN'],0.018,-0.093,1.000
152,person,0.79,42,107,25.2,94.6,['DOWN'],0.018,-0.094,1.000
153,person,0.69,15,112,25.2,99.6,['DOWN'],0.018,-0.095,1.000
154,person,0.70,14,117,25.0,105.6,['DOWN'],0.018,-0.096,1.000
155,person,0.70,14,120,24.2,111.0,['DOWN'],0.019,-0.097,1.000
156,person,0.74,14,124,19.8,116.0,['DOWN'],0.019,-0.098,1.000
157,person,0.72,15,129,14.4,120.4,['DOWN'],0.019,-0.099,1.000
158,person,0.74,17,132,14.8,124.4,['DOWN'],0.019,-0.100,1.000
159,person,0.71,19,134,15.8,127.8,['DOWN'],0.019,-0.101,1.000
160,person,0.69,21,136,17.2,131.0,['DOWN'],0.019,-0.102,1.000
161,person,0.73,26,137,19.6,133.6,['DOWN'],0.019,-0.103,1.000
162,person,0.69,25,138,21.6,135.4,['DOWN'],0.019,-0.104,1.000
163,person,0.70,24,137,23.0,136.4,['DOWN'],0.019,-0.105,1.000
164,person,0.70,25,136,24.2,136.8,['DOWN'],0.019,-0.107,1.000
165,person,0.70,25,136,25.0,136.8,['DOWN'],0.019,-0.108,1.000
166,person,0.66,25,135,24.8,136.4,['DOWN'],0.019,-0.109,1.000
167,person,0.57,23,133,24.4,135.4,['DOWN'],0.019,-0.110,1.000
168,person,0.59,24,132,24.4,134.4,['DOWN'],0.019,-0.111,1.000
169,person,0.63,25,131,24.4,133.4,['DOWN'],0.019,-0.112,1.000
170,person,0.64,24,131,24.2,132.4,['DOWN'],0.019,-0.113,1.000
171,person,0.57,24,130,24.0,131.4,['DOWN'],0.020,-0.115,1.000
172,person,0.57,48,128,29.0,130.4,['DOWN'],0.020,-0.116,1.000
173,person,0.72,49,128,34.0,129.6,"['RIGHT', 'DOWN']",0.020,-0.117,1.000
174,person,0.76,51,129,39.2,129.2,"['RIGHT', 'DOWN']",0.020,-0.118,1.000
175,person,0.75,56,129,45.6,128.8,"['RIGHT', 'DOWN']",0.020,-0.119,1.000
176,person,0.76,60,129,52.8,128.6,"['RIGHT', 'DOWN']",0.020,-0.120,1.000
177,person,0.80,61,131,55.4,129.2,"['RIGHT', 'DOWN']",0.020,-0.122,1.000
178,person,0.84,70,131,59.6,129.8,"['RIGHT', 'DOWN']",0.020,-0.123,1.000
179,person,0.81,81,133,65.6,130.6,"['RIGHT', 'DOWN']",0.020,-0.124,1.000
180,person,0.80,93,135,73.0,131.8,"['RIGHT', 'DOWN']",0.020,-0.125,1.000
181,person,0.85,113,137,83.6,133.4,"['RIGHT', 'DOWN']",0.021,-0.127,1.000
182,person,0.85,126,140,96.6,135.2,"['RIGHT', 'DOWN']",0.021,-0.128,1.000
183,person,0.83,136,141,109.8,137.2,"['RIGHT', 'DOWN']",0.021,-0.129,1.000
